Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,0.0013208389282226562,0.003505706787109375,0.002231597900390625,0.002132415771484375,0.00185394287109375,0.0026760101318359375,0.00160980224609375,0.002498626708984375,0.009063720703125,0.006275177001953125,0.003955841064453125,0.0136871337890625,0.0033721923828125,0.0049591064453125,0.005584716796875,0.0024814605712890625,0.01108551025390625,0.004138946533203125,0.00110626220703125,0.00559234619140625,0.006305694580078125,0.00228118896484375,0.005908966064453125,0.00875091552734375,0.0015821456909179688,0.00213623046875,0.0016832351684570312,0.003223419189453125,0.0030078887939453125,0.004886627197265625,0.000827789306640625,3.123283386230469e-05
1,0.004123687744140625,0.00170135498046875,0.0079803466796875,0.0110321044921875,0.0007205009460449219,0.0017833709716796875,0.005168914794921875,0.0020351409912109375,0.00731658935546875,0.0049896240234375,0.00557708740234375,0.009613037109375,0.00647735595703125,0.0016651153564453125,0.0026187896728515625,0.00757598876953125,0.002819061279296875,0.0022430419921875,0.0019016265869140625,0.0025844573974609375,0.006359100341796875,0.0034542083740234375,0.00310516357421875,0.006317138671875,0.0005431175231933594,0.0006103515625,0.0004057884216308594,0.0004968643188476562,0.00775909423828125,0.004505157470703125,0.005550384521484375,0.00482177734375
2,0.006336212158203125,0.0153045654296875,0.0057220458984375,0.0080108642578125,0.0113372802734375,0.0162811279296875,0.0177459716796875,0.006256103515625,0.0031280517578125,0.0043487548828125,0.004169464111328125,0.0017242431640625,0.0022449493408203125,0.00580596923828125,0.0097198486328125,0.01910400390625,0.0080108642578125,0.007598876953125,0.00485992431640625,0.0092010498046875,0.0024929046630859375,0.0014209747314453125,0.0157623291015625,0.02117919921875,0.0093994140625,0.03204345703125,0.004581451416015625,0.002193450927734375,0.00650787353515625,0.00501251220703125,0.0017642974853515625,0.0016222000122070312
3,0.050384521484375,0.021087646484375,0.0172576904296875,0.017852783203125,0.0016727447509765625,0.0034885406494140625,0.003143310546875,0.004581451416015625,0.0102081298828125,0.0231170654296875,0.0090179443359375,0.00861358642578125,0.00672149658203125,0.002193450927734375,0.00559234619140625,0.006256103515625,0.00611114501953125,0.00441741943359375,0.00502777099609375,0.01259613037109375,0.00856781005859375,0.0202789306640625,0.0258026123046875,0.01560211181640625,0.006031036376953125,0.003948211669921875,0.0248260498046875,0.02020263671875,0.025543212890625,0.0311279296875,0.034332275390625,0.0114288330078125
4,0.016571044921875,0.00960540771484375,0.0311737060546875,0.0745849609375,0.026153564453125,0.03570556640625,0.05352783203125,0.026397705078125,0.019622802734375,0.01401519775390625,0.018157958984375,0.021331787109375,0.01593017578125,0.019989013671875,0.00567626953125,0.057220458984375,0.034210205078125,0.004024505615234375,0.0177459716796875,0.0266571044921875,0.05078125,0.0201263427734375,0.04644775390625,0.01873779296875,0.0181732177734375,0.041259765625,0.027435302734375,0.00749969482421875,0.011871337890625,0.00434112548828125,0.021759033203125,0.048309326171875
5,0.03759765625,0.044586181640625,0.016387939453125,0.01165771484375,0.032135009765625,0.053558349609375,0.032196044921875,0.0291748046875,0.00569915771484375,0.006011962890625,0.007801055908203125,0.0099029541015625,0.03240966796875,0.0167236328125,0.0140380859375,0.032073974609375,0.021270751953125,0.05523681640625,0.032958984375,0.0291748046875,0.010772705078125,0.00310516357421875,0.02978515625,0.003017425537109375,0.053070068359375,0.028472900390625,0.017242431640625,0.053558349609375,0.03448486328125,0.0087432861328125,0.030487060546875,0.039947509765625
6,0.046905517578125,0.02191162109375,0.00478363037109375,0.031585693359375,0.12274169921875,0.05194091796875,0.086669921875,0.06781005859375,0.005115509033203125,0.024322509765625,0.00455474853515625,0.0207061767578125,0.026641845703125,0.04266357421875,0.054931640625,0.04693603515625,0.016845703125,0.0313720703125,0.045318603515625,0.030120849609375,0.0662841796875,0.062103271484375,0.07489013671875,0.045379638671875,0.02410888671875,0.01039886474609375,0.0183563232421875,0.0192718505859375,0.00392913818359375,0.0295867919921875,0.01206207275390625,0.01044464111328125
7,0.02239990234375,0.035614013671875,0.0097503662109375,0.022613525390625,0.05224609375,0.04119873046875,0.05548095703125,0.06085205078125,0.05633544921875,0.07794189453125,0.11395263671875,0.08050537109375,0.03277587890625,0.05572509765625,0.044952392578125,0.09722900390625,0.05810546875,0.079345703125,0.06817626953125,0.048004150390625,0.062164306640625,0.045013427734375,0.0118408203125,0.0858154296875,0.06707763671875,0.0058441162109375,0.0367431640625,0.015838623046875,0.0919189453125,0.08038330078125,0.0775146484375,0.0626220703125
8,0.049163818359375,0.01363372802734375,0.08685302734375,0.01910400390625,0.0264434814453125,0.055084228515625,0.059814453125,0.0634765625,0.068603515625,0.031463623046875,0.047271728515625,0.0266876220703125,0.06134033203125,0.06414794921875,0.049468994140625,0.0802001953125,0.052398681640625,0.053619384765625,0.06365966796875,0.0740966796875,0.05218505859375,0.050628662109375,0.032440185546875,0.05718994140625,0.09368896484375,0.10858154296875,0.08837890625,0.04534912109375,0.06219482421875,0.07769775390625,0.0927734375,0.10333251953125
9,0.06365966796875,0.1082763671875,0.1168212890625,0.11004638671875,0.04736328125,0.0848388671875,0.032989501953125,0.030670166015625,0.053558349609375,0.04949951171875,0.065673828125,0.035552978515625,0.08416748046875,0.12060546875,0.076171875,0.09344482421875,0.06414794921875,0.05780029296875,0.057373046875,0.07568359375,0.08355712890625,0.09759521484375,0.093505859375,0.06988525390625,0.11297607421875,0.00830078125,0.0203857421875,0.04022216796875,0.0792236328125,0.1524658203125,0.048095703125,0.1158447265625
10,0.08770751953125,0.0799560546875,0.019073486328125,0.0272216796875,0.04266357421875,0.01152801513671875,0.0239105224609375,0.0203094482421875,0.06024169921875,0.055267333984375,0.0887451171875,0.023834228515625,0.0014734268188476562,0.0164337158203125,0.013427734375,0.048736572265625,0.06182861328125,0.08306884765625,0.1484375,0.119140625,0.1715087890625,0.059478759765625,0.1158447265625,0.094970703125,0.1224365234375,0.115234375,0.11749267578125,0.1983642578125,0.045654296875,0.06280517578125,0.066162109375,0.0312042236328125
11,0.210693359375,0.1253662109375,0.1141357421875,0.0772705078125,0.0882568359375,0.1080322265625,0.0643310546875,0.06671142578125,0.08642578125,0.09417724609375,0.06854248046875,0.09014892578125,0.07427978515625,0.08551025390625,0.10089111328125,0.09149169921875,0.05328369140625,0.0704345703125,0.05633544921875,0.08648681640625,0.08612060546875,0.1131591796875,0.0843505859375,0.0885009765625,0.1119384765625,0.10565185546875,0.11541748046875,0.1175537109375,0.02056884765625,0.01338958740234375,0.0145721435546875,0.034942626953125
12,0.08404541015625,0.05767822265625,0.1019287109375,0.1025390625,0.1337890625,0.10772705078125,0.148193359375,0.08526611328125,0.09320068359375,0.1324462890625,0.1292724609375,0.1666259765625,0.1602783203125,0.08905029296875,0.06414794921875,0.125732421875,0.04132080078125,0.0237274169921875,0.0245361328125,0.017791748046875,0.087158203125,0.1585693359375,0.09326171875,0.07647705078125,0.09783935546875,0.10723876953125,0.1065673828125,0.1112060546875,0.163818359375,0.099609375,0.0863037109375,0.128662109375
13,0.1741943359375,0.1734619140625,0.1666259765625,0.1806640625,0.1029052734375,0.1756591796875,0.139404296875,0.151611328125,0.156982421875,0.1312255859375,0.1361083984375,0.2330322265625,0.220947265625,0.1463623046875,0.1942138671875,0.25927734375,0.189208984375,0.1397705078125,0.1878662109375,0.158203125,0.10546875,0.13232421875,0.1192626953125,0.1473388671875,0.08489990234375,0.1087646484375,0.04534912109375,0.045562744140625,0.1048583984375,0.067138671875,0.10662841796875,0.0657958984375
14,0.147216796875,0.144775390625,0.284423828125,0.1912841796875,0.16357421875,0.29150390625,0.1444091796875,0.1400146484375,0.134521484375,0.0970458984375,0.0899658203125,0.1207275390625,0.1600341796875,0.1552734375,0.10369873046875,0.0999755859375,0.0692138671875,0.0153350830078125,0.022674560546875,0.052154541015625,0.1143798828125,0.10223388671875,0.170654296875,0.1407470703125,0.142822265625,0.08636474609375,0.11016845703125,0.0709228515625,0.07373046875,0.1717529296875,0.15869140625,0.239501953125
15,0.0272979736328125,0.004291534423828125,0.00441741943359375,0.03179931640625,0.41748046875,0.216064453125,0.1524658203125,0.176513671875,0.2353515625,0.162841796875,0.1805419921875,0.2083740234375,0.0914306640625,0.0380859375,0.0467529296875,0.02471923828125,0.037078857421875,0.0099639892578125,0.0287322998046875,0.00499725341796875,0.1495361328125,0.136474609375,0.234619140625,0.1854248046875,0.1265869140625,0.09649658203125,0.0950927734375,0.1048583984375,0.003002166748046875,0.0199432373046875,0.01132965087890625,0.00632476806640625
16,0.0640869140625,0.041748046875,0.042755126953125,0.0732421875,0.173583984375,0.05352783203125,0.11749267578125,0.0823974609375,0.05670166015625,0.0164337158203125,0.09881591796875,0.033966064453125,0.05255126953125,0.0777587890625,0.03265380859375,0.1160888671875,0.06988525390625,0.1273193359375,0.051177978515625,0.1241455078125,0.00759124755859375,0.00533294677734375,0.0266571044921875,0.006793975830078125,0.11993408203125,0.177978515625,0.1856689453125,0.125732421875,0.10418701171875,0.0755615234375,0.1353759765625,0.0904541015625
17,0.04901123046875,0.01026153564453125,0.04083251953125,0.0716552734375,0.1455078125,0.12451171875,0.1171875,0.1109619140625,0.0037746429443359375,0.00820159912109375,0.00392913818359375,0.01345062255859375,0.05084228515625,0.07086181640625,0.0684814453125,0.06756591796875,0.006298065185546875,0.005275726318359375,0.0214691162109375,0.01218414306640625,0.208740234375,0.2281494140625,0.05169677734375,0.05584716796875,0.0882568359375,0.1480712890625,0.2041015625,0.0640869140625,0.1326904296875,0.145263671875,0.020111083984375,0.1280517578125
18,0.254638671875,0.01103973388671875,0.04010009765625,0.0072021484375,0.0126190185546875,0.0121917724609375,0.003215789794921875,0.0084075927734375,0.235595703125,0.14599609375,0.02093505859375,0.1859130859375,0.03558349609375,0.0026950836181640625,0.07244873046875,0.0181427001953125,0.0234527587890625,0.00406646728515625,0.050048828125,0.0238494873046875,0.1370849609375,0.006744384765625,0.0980224609375,0.197021484375,0.250244140625,0.10174560546875,0.06597900390625,0.047393798828125,0.10711669921875,0.03302001953125,0.0229034423828125,0.006671905517578125
19,0.01690673828125,0.01215362548828125,0.01806640625,0.1444091796875,0.00696563720703125,0.00954437255859375,0.00882720947265625,0.03240966796875,0.0872802734375,0.229736328125,0.1602783203125,0.1248779296875,0.0080413818359375,0.051177978515625,0.05682373046875,0.0198211669921875,0.01690673828125,0.0088348388671875,0.0147247314453125,0.00780487060546875,0.12225341796875,0.0693359375,0.027252197265625,0.0643310546875,0.00806427001953125,0.012481689453125,0.0019130706787109375,0.00594329833984375,0.01556396484375,0.0117645263671875,0.05780029296875,0.009613037109375
20,0.04071044921875,0.04559326171875,0.0153656005859375,0.031463623046875,0.0087127685546875,0.003887176513671875,0.00939178466796875,0.007080078125,0.04827880859375,0.10711669921875,0.033172607421875,0.045928955078125,0.04669189453125,0.0149078369140625,0.0797119140625,0.07623291015625,0.017730712890625,0.01357269287109375,0.01375579833984375,0.007080078125,0.042205810546875,0.01318359375,0.022705078125,0.0826416015625,0.0850830078125,0.0936279296875,0.1700439453125,0.02410888671875,0.0450439453125,0.090087890625,0.2080078125,0.092529296875
21,0.0848388671875,0.05584716796875,0.160400390625,0.068115234375,0.058837890625,0.055755615234375,0.05767822265625,0.021148681640625,0.153076171875,0.1123046875,0.119140625,0.193603515625,0.0916748046875,0.06756591796875,0.030242919921875,0.0270233154296875,0.019012451171875,0.0218658447265625,0.03155517578125,0.03399658203125,0.0138702392578125,0.0135955810546875,0.005756378173828125,0.019195556640625,0.024871826171875,0.057769775390625,0.08514404296875,0.020965576171875,0.0131378173828125,0.01080322265625,0.01357269287109375,0.08526611328125
22,0.05621337890625,0.0635986328125,0.055999755859375,0.028350830078125,0.0655517578125,0.047454833984375,0.06878662109375,0.05474853515625,0.07403564453125,0.07122802734375,0.07965087890625,0.0733642578125,0.04522705078125,0.039947509765625,0.1219482421875,0.05120849609375,0.1978759765625,0.0902099609375,0.0802001953125,0.15673828125,0.01175689697265625,0.01116943359375,0.0079498291015625,0.00885009765625,0.084228515625,0.027496337890625,0.025360107421875,0.0968017578125,0.0638427734375,0.140380859375,0.022918701171875,0.052978515625
23,0.0154571533203125,0.022125244140625,0.01197052001953125,0.0250244140625,0.01629638671875,0.041473388671875,0.049591064453125,0.03704833984375,0.041015625,0.05731201171875,0.0250244140625,0.01617431640625,0.0289306640625,0.032928466796875,0.07525634765625,0.019927978515625,0.017120361328125,0.0672607421875,0.021759033203125,0.0477294921875,0.037811279296875,0.0142822265625,0.054443359375,0.009307861328125,0.021148681640625,0.050628662109375,0.003231048583984375,0.04034423828125,0.310791015625,0.0184783935546875,0.026275634765625,0.0204925537109375
24,0.0178375244140625,0.01345062255859375,0.043212890625,0.034271240234375,0.01351165771484375,0.0084686279296875,0.017242431640625,0.0158843994140625,0.005649566650390625,0.004436492919921875,0.00939178466796875,0.00630950927734375,0.020416259765625,0.08197021484375,0.0902099609375,0.044464111328125,0.04248046875,0.068603515625,0.04449462890625,0.0168304443359375,0.030059814453125,0.012481689453125,0.0406494140625,0.033447265625,0.042510986328125,0.046630859375,0.0487060546875,0.040008544921875,0.06109619140625,0.036346435546875,0.00879669189453125,0.01181793212890625
25,0.0229034423828125,0.05194091796875,0.0203399658203125,0.00537109375,0.033111572265625,0.03857421875,0.0273895263671875,0.06414794921875,0.00748443603515625,0.00595855712890625,0.0421142578125,0.07440185546875,0.04815673828125,0.033050537109375,0.09649658203125,0.052642822265625,0.035675048828125,0.031768798828125,0.152587890625,0.02093505859375,0.073486328125,0.03314208984375,0.01345062255859375,0.071533203125,0.03900146484375,0.0094451904296875,0.0443115234375,0.03558349609375,0.0177459716796875,0.007293701171875,0.00734710693359375,0.007183074951171875
26,0.0888671875,0.1434326171875,0.043060302734375,0.1185302734375,0.0236663818359375,0.0153961181640625,0.0250701904296875,0.0179901123046875,0.00695037841796875,0.0218353271484375,0.04888916015625,0.00536346435546875,0.04156494140625,0.0328369140625,0.04425048828125,0.0406494140625,0.0145416259765625,0.08795166015625,0.0224151611328125,0.1275634765625,0.023834228515625,0.1414794921875,0.0733642578125,0.277587890625,0.129150390625,0.02105712890625,0.0269775390625,0.08984375,0.018035888671875,0.05157470703125,0.1102294921875,0.0176849365234375
27,0.01456451416015625,0.02032470703125,0.016815185546875,0.007965087890625,0.041107177734375,0.0628662109375,0.050384521484375,0.0748291015625,0.225830078125,0.046295166015625,0.07049560546875,0.1007080078125,0.03143310546875,0.0270233154296875,0.060943603515625,0.10040283203125,0.130615234375,0.01104736328125,0.0188140869140625,0.041595458984375,0.05364990234375,0.056793212890625,0.057037353515625,0.052154541015625,0.019195556640625,0.00982666015625,0.0094451904296875,0.0089111328125,0.1485595703125,0.085693359375,0.04302978515625,0.017913818359375
28,0.179443359375,0.019744873046875,0.0130462646484375,0.05352783203125,0.01058197021484375,0.0546875,0.01275634765625,0.0135650634765625,0.0186309814453125,0.03692626953125,0.261962890625,0.11083984375,0.0141448974609375,0.0657958984375,0.0241851806640625,0.05279541015625,0.161376953125,0.09100341796875,0.1539306640625,0.025390625,0.155029296875,0.12646484375,0.01245880126953125,0.155517578125,0.0263214111328125,0.02471923828125,0.028350830078125,0.055419921875,0.0117950439453125,0.151611328125,0.234130859375,0.0859375
29,0.0086212158203125,0.006092071533203125,0.0167236328125,0.01751708984375,0.0161590576171875,0.052093505859375,0.00789642333984375,0.00888824462890625,0.2015380859375,0.11846923828125,0.1590576171875,0.1260986328125,0.004825592041015625,0.01197052001953125,0.0141143798828125,0.01462554931640625,0.07275390625,0.0191497802734375,0.003025054931640625,0.031005859375,0.056396484375,0.1146240234375,0.0811767578125,0.09515380859375,0.0112152099609375,0.12255859375,0.0160980224609375,0.01352691650390625,0.04547119140625,0.04644775390625,0.059906005859375,0.06414794921875
30,0.1212158203125,0.223876953125,0.1435546875,0.052581787109375,0.04986572265625,0.0086517333984375,0.1392822265625,0.0173187255859375,0.048736572265625,0.1551513671875,0.0697021484375,0.051513671875,0.12841796875,0.07891845703125,0.08758544921875,0.07928466796875,0.0157318115234375,0.025848388671875,0.1282958984375,0.060882568359375,0.06158447265625,0.016632080078125,0.040191650390625,0.026947021484375,0.192138671875,0.243896484375,0.2109375,0.33544921875,0.0283203125,0.05548095703125,0.11669921875,0.052978515625
