Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.003154754638671875,0.0284271240234375,0.0006017684936523438,0.019134521484375,0.005645751953125,0.0460205078125,0.001178741455078125,0.002849578857421875,0.0178680419921875,0.00527191162109375,0.004978179931640625,0.019561767578125,0.03253173828125,0.007259368896484375
1,0.087158203125,0.12481689453125,0.06298828125,0.07275390625,0.065185546875,0.05303955078125,0.061065673828125,0.033416748046875,0.043792724609375,0.050201416015625,0.032257080078125,0.04058837890625,0.05303955078125,0.06378173828125
2,0.11077880859375,0.094482421875,0.07318115234375,0.0677490234375,0.088134765625,0.07220458984375,0.06561279296875,0.115966796875,0.058868408203125,0.1195068359375,0.0966796875,0.10723876953125,0.11822509765625,0.1220703125
3,0.06744384765625,0.0870361328125,0.10174560546875,0.08380126953125,0.0560302734375,0.070556640625,0.0061187744140625,0.0200958251953125,0.0732421875,0.08782958984375,0.087890625,0.04425048828125,0.0275726318359375,0.0577392578125
4,0.06390380859375,0.06671142578125,0.12890625,0.09271240234375,0.095703125,0.08294677734375,0.10443115234375,0.08636474609375,0.1771240234375,0.10357666015625,0.1373291015625,0.29833984375,0.1456298828125,0.09454345703125
5,0.60205078125,0.18017578125,0.253662109375,0.041412353515625,0.06390380859375,0.1181640625,0.00203704833984375,0.2059326171875,0.227294921875,0.117431640625,0.1551513671875,0.035400390625,0.169189453125,0.235107421875
6,0.2335205078125,0.1912841796875,0.26171875,0.40478515625,0.2568359375,0.131591796875,0.2364501953125,0.10211181640625,0.1312255859375,0.13232421875,0.1319580078125,0.1376953125,0.1175537109375,0.188720703125
7,0.2086181640625,0.20068359375,0.2108154296875,0.1429443359375,0.271728515625,0.3076171875,0.2498779296875,0.1312255859375,0.11761474609375,0.1348876953125,0.241455078125,0.1956787109375,0.11114501953125,0.15087890625
8,0.1251220703125,0.2308349609375,0.129638671875,0.0999755859375,0.1541748046875,0.1846923828125,0.2496337890625,0.1668701171875,0.103759765625,0.1846923828125,0.125,0.35791015625,0.1793212890625,0.1187744140625
9,0.312744140625,0.3310546875,0.47412109375,0.24658203125,0.4130859375,0.296630859375,0.371337890625,0.0010309219360351562,0.0121612548828125,0.1265869140625,0.0008392333984375,0.2015380859375,0.04571533203125,0.0008091926574707031
10,0.461669921875,0.448486328125,0.250732421875,0.2440185546875,0.318359375,0.284423828125,0.373291015625,0.350341796875,0.18798828125,0.2208251953125,0.11773681640625,0.192138671875,0.252197265625,0.153076171875
11,0.8642578125,0.237548828125,0.603515625,0.76416015625,0.484375,0.424072265625,0.265380859375,0.045806884765625,0.0003464221954345703,0.0408935546875,0.12103271484375,0.019073486328125,0.0780029296875,0.1590576171875
12,0.64501953125,0.44140625,0.20068359375,0.350341796875,0.3544921875,0.413818359375,0.3359375,0.1624755859375,0.08856201171875,0.1673583984375,0.0128173828125,0.2371826171875,0.272216796875,0.08251953125
13,0.211669921875,0.1680908203125,0.392333984375,0.461181640625,0.478759765625,0.5673828125,0.57470703125,0.23681640625,0.10308837890625,0.1278076171875,0.281982421875,0.2325439453125,0.313232421875,0.0501708984375
14,0.56201171875,0.55419921875,0.4970703125,0.295166015625,0.37744140625,0.420166015625,0.262939453125,0.51513671875,0.302490234375,1.1962890625,0.3388671875,0.4873046875,0.457763671875,0.53076171875
15,0.207763671875,0.3212890625,0.3193359375,0.2783203125,0.2393798828125,0.480224609375,0.449951171875,0.285400390625,0.447509765625,0.4130859375,0.424072265625,0.435791015625,0.501953125,0.560546875
16,0.69580078125,0.9013671875,0.262939453125,0.08551025390625,0.087646484375,0.168212890625,0.07086181640625,0.323974609375,0.3046875,0.26904296875,0.1099853515625,0.80419921875,0.338134765625,0.0308990478515625
17,0.71435546875,0.347412109375,0.72509765625,1.0048828125,0.55908203125,0.80322265625,0.2587890625,0.272216796875,0.441162109375,0.42041015625,0.67041015625,0.705078125,0.2301025390625,0.18994140625
18,0.140625,0.837890625,0.1060791015625,0.381103515625,1.57421875,0.12359619140625,0.1099853515625,0.2724609375,0.47265625,0.448486328125,0.16943359375,0.564453125,0.158447265625,0.52294921875
19,0.54736328125,0.211669921875,0.322021484375,0.067626953125,0.0221405029296875,0.1824951171875,0.1761474609375,0.36962890625,0.638671875,0.323974609375,0.39697265625,0.818359375,0.68017578125,0.381103515625
20,0.11175537109375,0.93896484375,0.603515625,0.1644287109375,0.22607421875,0.06341552734375,0.4111328125,0.89892578125,0.83447265625,0.1632080078125,0.97705078125,1.2197265625,2.51953125,0.45849609375
21,0.2237548828125,0.72802734375,0.9814453125,1.0419921875,0.509765625,1.0546875,1.302734375,0.185546875,1.37109375,0.947265625,0.1795654296875,0.51025390625,1.0166015625,0.6552734375
22,1.787109375,0.5771484375,0.95947265625,0.90625,0.48583984375,1.3994140625,0.9267578125,1.3759765625,0.293212890625,0.20849609375,2.451171875,1.2978515625,0.962890625,1.08203125
23,1.3369140625,1.244140625,1.0712890625,0.677734375,1.0205078125,0.73486328125,0.82373046875,1.01171875,1.833984375,0.732421875,0.5751953125,0.83251953125,0.62890625,0.67138671875

Top 10 Most Divergent Heads
Rank,Layer,Head,Divergence
1,20,12,2.51953125
2,22,10,2.451171875
3,23,8,1.833984375
4,22,0,1.787109375
5,18,4,1.57421875
6,22,5,1.3994140625
7,22,7,1.3759765625
8,21,8,1.37109375
9,23,0,1.3369140625
10,21,6,1.302734375
