Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,11.89143613387978,11.891335227272727,11.890861742424242,11.890625
1,11.81390881147541,11.814157196969697,11.813210227272727,11.8125
2,11.713925887978142,11.714488636363637,11.713778409090908,11.713068181818182
3,11.728526297814208,11.728929924242424,11.728219696969697,11.727272727272727
4,11.612149931693988,11.613636363636363,11.612452651515152,11.610085227272727
5,11.027407786885245,11.029119318181818,11.019649621212121,11.024147727272727
6,10.921618852459016,10.92376893939394,10.917376893939394,10.913352272727273
7,10.729977800546449,10.733901515151516,10.723248106060606,10.717329545454545
8,11.256915983606557,11.253314393939394,11.244318181818182,11.227272727272727
9,9.974556010928962,9.991950757575758,9.984611742424242,9.992897727272727
10,10.299820696721312,10.310132575757576,10.295691287878787,10.279119318181818
11,9.575734289617486,9.59185606060606,9.568655303030303,9.546875
12,9.565957991803279,9.560842803030303,9.523674242424242,9.490056818181818
13,8.167563183060109,8.14642518939394,8.078716856060606,8.016335227272727
14,6.162845799180328,6.112452651515151,6.0149147727272725,5.889559659090909
15,7.293907957650274,7.2453835227272725,7.158735795454546,7.032670454545454
16,7.549223019125683,7.550189393939394,7.467092803030303,7.36328125
17,6.521580430327869,6.510061553030303,6.469223484848484,6.3600852272727275
18,5.988409323770492,6.067471590909091,6.002367424242424,5.8984375
19,5.168929303278689,5.186079545454546,5.149857954545454,5.035511363636363
20,3.212890625,3.098129734848485,3.060428503787879,3.0056818181818183
21,1.798129055669399,1.7340494791666667,1.782344933712121,1.8301669034090908
22,1.0831038678278688,1.021366003787879,1.0306137547348484,1.0671608664772727
23,0.8246696764002732,0.8275997277462122,0.838623046875,0.8328302556818182
24,0.5600002267973019,0.5657515092329546,0.5674309008049242,0.5322154651988636
25,0.3762475519232411,0.3755779844341856,0.3372479063091856,0.2869873046875
26,0.5394917472464139,0.5362770774147727,0.5032237659801136,0.5545903986150568
27,0.3331015031845843,0.4011258212002841,0.3451214414654356,0.3419577858664773
