Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.0021953582763671875,0.0203704833984375,0.0005540847778320312,0.0156097412109375,0.004291534423828125,0.044769287109375,0.0012340545654296875,0.0032596588134765625,0.012939453125,0.00421905517578125,0.0038394927978515625,0.01398468017578125,0.0341796875,0.006740570068359375
1,0.05712890625,0.08447265625,0.041961669921875,0.052337646484375,0.0506591796875,0.04083251953125,0.047149658203125,0.0248260498046875,0.03131103515625,0.03289794921875,0.037353515625,0.0272979736328125,0.050323486328125,0.049713134765625
2,0.07879638671875,0.08837890625,0.058074951171875,0.05712890625,0.071533203125,0.0655517578125,0.04803466796875,0.090576171875,0.0477294921875,0.0845947265625,0.07196044921875,0.08111572265625,0.109375,0.08599853515625
3,0.04779052734375,0.0684814453125,0.073486328125,0.07061767578125,0.04107666015625,0.052520751953125,0.005718231201171875,0.01641845703125,0.05804443359375,0.06317138671875,0.0731201171875,0.0302886962890625,0.0221710205078125,0.04803466796875
4,0.051422119140625,0.04931640625,0.09600830078125,0.07586669921875,0.0699462890625,0.066162109375,0.07733154296875,0.0623779296875,0.11651611328125,0.06646728515625,0.08843994140625,0.194091796875,0.1036376953125,0.0701904296875
5,0.37353515625,0.1036376953125,0.1614990234375,0.0295867919921875,0.04498291015625,0.08831787109375,0.001682281494140625,0.1329345703125,0.178955078125,0.0880126953125,0.11456298828125,0.02789306640625,0.1103515625,0.1700439453125
6,0.1558837890625,0.1416015625,0.1807861328125,0.276123046875,0.17041015625,0.10064697265625,0.193115234375,0.07379150390625,0.09478759765625,0.094482421875,0.0906982421875,0.10516357421875,0.07781982421875,0.1363525390625
7,0.1561279296875,0.1578369140625,0.2239990234375,0.0953369140625,0.210693359375,0.3359375,0.1822509765625,0.0679931640625,0.07830810546875,0.07763671875,0.154296875,0.1378173828125,0.06866455078125,0.10345458984375
8,0.10150146484375,0.1885986328125,0.1014404296875,0.0770263671875,0.1153564453125,0.127197265625,0.1885986328125,0.1268310546875,0.11187744140625,0.1243896484375,0.1102294921875,0.240478515625,0.128662109375,0.083740234375
9,0.250732421875,0.234130859375,0.3349609375,0.1923828125,0.3095703125,0.233154296875,0.310791015625,0.0008072853088378906,0.0082550048828125,0.081298828125,0.0006999969482421875,0.1368408203125,0.042236328125,0.0006952285766601562
10,0.326904296875,0.3369140625,0.19580078125,0.169921875,0.263671875,0.19873046875,0.267333984375,0.26904296875,0.2098388671875,0.16748046875,0.0926513671875,0.1485595703125,0.1986083984375,0.1173095703125
11,0.60205078125,0.1986083984375,0.424560546875,0.5322265625,0.429443359375,0.2958984375,0.1854248046875,0.040283203125,0.0003218650817871094,0.033538818359375,0.08929443359375,0.01153564453125,0.06207275390625,0.135498046875
12,0.47119140625,0.34619140625,0.156494140625,0.2626953125,0.26806640625,0.304443359375,0.25048828125,0.1282958984375,0.0743408203125,0.13427734375,0.0135955810546875,0.1910400390625,0.214111328125,0.07720947265625
13,0.1630859375,0.1302490234375,0.2783203125,0.365478515625,0.34521484375,0.419677734375,0.4150390625,0.169677734375,0.07562255859375,0.1009521484375,0.2008056640625,0.181396484375,0.2166748046875,0.036407470703125
14,0.441650390625,0.419921875,0.38232421875,0.21044921875,0.29345703125,0.345458984375,0.208251953125,0.374755859375,0.230712890625,0.83740234375,0.2476806640625,0.352294921875,0.33056640625,0.380859375
15,0.153564453125,0.224853515625,0.227294921875,0.200439453125,0.1944580078125,0.361083984375,0.316650390625,0.219970703125,0.335693359375,0.3115234375,0.29296875,0.33984375,0.362060546875,0.418212890625
16,0.55224609375,0.66162109375,0.2222900390625,0.0762939453125,0.07879638671875,0.1416015625,0.050567626953125,0.24169921875,0.2392578125,0.1861572265625,0.0765380859375,0.6181640625,0.236328125,0.0237884521484375
17,0.491455078125,0.2685546875,0.47998046875,0.70556640625,0.412109375,0.58447265625,0.189453125,0.2060546875,0.329833984375,0.2939453125,0.509765625,0.50244140625,0.177734375,0.1380615234375
18,0.10369873046875,0.65625,0.0811767578125,0.30078125,1.1630859375,0.1044921875,0.08892822265625,0.194091796875,0.350830078125,0.330810546875,0.1287841796875,0.46044921875,0.12939453125,0.38525390625
19,0.396240234375,0.153564453125,0.249267578125,0.049224853515625,0.0176544189453125,0.1279296875,0.1268310546875,0.27587890625,0.47900390625,0.228271484375,0.343017578125,0.62109375,0.52001953125,0.2998046875
20,0.0828857421875,0.69580078125,0.45751953125,0.1495361328125,0.1873779296875,0.05029296875,0.307861328125,0.6943359375,0.63525390625,0.143310546875,0.6650390625,0.84375,1.69921875,0.34765625
21,0.17236328125,0.529296875,0.7705078125,0.796875,0.396728515625,0.80859375,0.8935546875,0.148193359375,1.017578125,0.69970703125,0.138916015625,0.392578125,0.71240234375,0.490478515625
22,1.1474609375,0.429443359375,0.69873046875,0.74462890625,0.341796875,1.001953125,0.66015625,1.025390625,0.236328125,0.1669921875,1.3447265625,0.9736328125,0.74267578125,0.95166015625
23,1.0439453125,0.97265625,0.8291015625,0.50732421875,0.7880859375,0.556640625,0.626953125,0.837890625,1.3896484375,0.56494140625,0.468017578125,0.66064453125,0.46435546875,0.52099609375

Top 10 Most Divergent Heads
Rank,Layer,Head,Divergence
1,20,12,1.69921875
2,23,8,1.3896484375
3,22,10,1.3447265625
4,18,4,1.1630859375
5,22,0,1.1474609375
6,23,0,1.0439453125
7,22,7,1.025390625
8,21,8,1.017578125
9,22,5,1.001953125
10,22,11,0.9736328125
