Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.09478759765625,0.09210205078125,0.03497314453125,0.03131103515625,0.03948974609375,0.0190887451171875,0.07513427734375,0.03912353515625,0.05474853515625,0.043212890625,0.0421142578125,0.0625,0.04534912109375,0.045257568359375
1,0.52197265625,0.4951171875,0.693359375,0.69921875,0.8046875,0.7333984375,0.481201171875,0.27197265625,0.1158447265625,0.43896484375,0.149169921875,0.280029296875,0.1275634765625,0.07861328125
2,0.283935546875,0.188232421875,0.158447265625,0.52197265625,0.5634765625,0.31005859375,0.3564453125,0.314697265625,0.2061767578125,0.373291015625,0.44287109375,0.28515625,0.4931640625,0.787109375
3,0.280029296875,0.42626953125,0.396240234375,0.53125,0.263427734375,0.3095703125,0.1304931640625,0.185546875,1.0224609375,0.285400390625,0.412353515625,0.339111328125,0.2012939453125,0.61572265625
4,0.52197265625,0.40966796875,0.307861328125,0.89501953125,0.63671875,0.78271484375,0.61328125,0.457763671875,0.26220703125,0.260009765625,0.334228515625,0.339111328125,0.226806640625,0.63818359375
5,0.5302734375,0.40087890625,0.54638671875,0.2003173828125,0.2255859375,0.8740234375,0.263427734375,0.4970703125,0.413818359375,0.41162109375,1.0546875,0.2998046875,1.16015625,0.9912109375
6,0.42626953125,0.318603515625,0.771484375,1.3193359375,0.56787109375,0.421630859375,0.36181640625,0.359375,0.43359375,0.358642578125,0.7060546875,0.434814453125,0.412841796875,0.884765625
7,1.201171875,1.154296875,0.434326171875,0.49267578125,0.75830078125,1.125,1.013671875,0.380126953125,0.3828125,0.401611328125,0.82568359375,0.81689453125,0.371826171875,0.333740234375
8,0.67578125,0.74951171875,0.471923828125,0.334716796875,0.701171875,0.38134765625,1.275390625,0.80322265625,0.57470703125,1.0205078125,1.34375,0.5224609375,1.02734375,0.56884765625
9,1.1787109375,0.63037109375,1.05859375,0.93115234375,1.71484375,0.89111328125,1.0703125,0.236572265625,0.2288818359375,0.22998046875,0.236572265625,0.473876953125,0.255859375,0.236328125
10,1.50390625,0.62841796875,0.49560546875,0.88330078125,0.489990234375,0.76513671875,0.66259765625,1.3193359375,1.0400390625,0.490234375,0.53173828125,0.662109375,0.55908203125,0.5537109375
11,1.158203125,0.83935546875,0.708984375,1.62109375,2.30078125,1.21875,0.53857421875,0.1339111328125,0.1641845703125,0.1448974609375,0.3427734375,0.147216796875,0.189453125,0.390380859375
12,1.7880859375,0.86572265625,0.3466796875,0.58251953125,1.134765625,1.2509765625,0.5478515625,0.46630859375,0.3642578125,0.383056640625,0.281982421875,0.75537109375,0.416015625,0.279052734375
13,0.439453125,0.399169921875,0.7509765625,0.9775390625,1.5595703125,1.16796875,1.330078125,0.65576171875,0.3134765625,0.35009765625,0.5078125,0.432861328125,0.62060546875,0.25634765625
14,1.1689453125,1.2822265625,0.65869140625,0.625,1.1279296875,0.95166015625,0.80126953125,1.5185546875,0.51220703125,1.1591796875,0.83154296875,1.021484375,0.94921875,1.017578125
15,0.5126953125,0.87548828125,0.67041015625,0.6865234375,0.9462890625,1.271484375,1.0693359375,0.708984375,0.681640625,0.91162109375,0.94482421875,0.927734375,1.048828125,1.0244140625
16,0.779296875,0.91259765625,0.373779296875,0.1751708984375,0.1629638671875,0.25439453125,0.131591796875,0.53515625,0.8564453125,0.3486328125,0.188720703125,2.044921875,0.3505859375,0.228271484375
17,1.818359375,1.458984375,1.8623046875,2.16796875,1.423828125,2.173828125,1.330078125,0.7900390625,0.80322265625,0.92138671875,1.419921875,1.0908203125,0.59765625,0.480712890625
18,0.21044921875,0.59033203125,0.27587890625,0.8916015625,1.1669921875,0.35546875,0.1898193359375,0.64453125,0.6552734375,0.97412109375,0.406005859375,2.068359375,0.45751953125,1.255859375
19,0.96337890625,0.4052734375,0.64501953125,0.10308837890625,0.0684814453125,0.27978515625,0.27734375,0.80419921875,1.486328125,0.489013671875,0.50537109375,2.0078125,1.7119140625,0.9560546875
20,2.251953125,2.59375,3.037109375,2.3125,2.369140625,2.236328125,2.33203125,1.904296875,1.2451171875,0.65673828125,0.9677734375,0.93798828125,1.3115234375,1.275390625
21,0.415283203125,0.64013671875,1.3193359375,1.3330078125,1.5693359375,2.03125,0.6142578125,0.365234375,1.0947265625,0.798828125,0.2423095703125,1.109375,1.35546875,1.2109375
22,2.798828125,2.900390625,2.873046875,2.787109375,2.73828125,3.3046875,2.896484375,1.392578125,0.32421875,0.59423828125,1.2822265625,1.5078125,1.08203125,2.142578125
23,2.45703125,2.376953125,2.1328125,1.86328125,2.177734375,1.81640625,1.9404296875,1.3212890625,1.8134765625,1.0322265625,1.109375,1.21484375,1.115234375,2.05078125

Top 10 Most Divergent Heads
Rank,Layer,Head,Divergence
1,22,5,3.3046875
2,20,2,3.037109375
3,22,1,2.900390625
4,22,6,2.896484375
5,22,2,2.873046875
6,22,0,2.798828125
7,22,3,2.787109375
8,22,4,2.73828125
9,20,1,2.59375
10,23,0,2.45703125
