Rank,Layer,Head,certain,manipulated_1,manipulated_2,manipulated_3,increase_certain_to_manipulated_1,increase_manipulated_1_to_manipulated_2,increase_manipulated_2_to_manipulated_3,total_increase_certain_to_manipulated_3,trend_slope_per_step,monotonic_increase
43,27,Head_8,0.0,0.1763,0.251,0.3242,0.1763,0.07469999999999999,0.07319999999999999,0.3242,0.10806666666666666,True
44,30,Head_24,0.0,0.1736,0.2469,0.3242,0.1736,0.0733,0.07729999999999998,0.3242,0.10806666666666666,True
45,22,Head_16,0.0,0.1543,0.2324,0.3181,0.1543,0.0781,0.0857,0.3181,0.10603333333333333,True
46,29,Head_8,0.0,0.1641,0.236,0.3176,0.1641,0.07189999999999999,0.0816,0.3176,0.10586666666666666,True
47,14,Head_3,0.0,0.1589,0.2334,0.3159,0.1589,0.07449999999999998,0.08250000000000002,0.3159,0.1053,True
48,12,Head_11,0.0,0.1438,0.2312,0.3152,0.1438,0.08739999999999998,0.08399999999999999,0.3152,0.10506666666666666,True
49,20,Head_30,0.0,0.1558,0.2365,0.3123,0.1558,0.0807,0.07580000000000003,0.3123,0.10410000000000001,True
50,13,Head_1,0.0,0.1498,0.2316,0.3115,0.1498,0.08180000000000001,0.0799,0.3115,0.10383333333333333,True
51,13,Head_19,0.0,0.1277,0.2118,0.3103,0.1277,0.08409999999999998,0.09850000000000003,0.3103,0.10343333333333334,True
52,15,Head_10,0.0,0.1423,0.2216,0.3054,0.1423,0.07929999999999998,0.08380000000000001,0.3054,0.1018,True
53,9,Head_29,0.0,0.1324,0.2067,0.3052,0.1324,0.0743,0.09850000000000003,0.3052,0.10173333333333334,True
54,14,Head_29,0.0,0.1387,0.2189,0.303,0.1387,0.08020000000000002,0.08409999999999998,0.303,0.10099999999999999,True
55,14,Head_22,0.0,0.1556,0.2283,0.3027,0.1556,0.07270000000000001,0.07440000000000002,0.3027,0.1009,True
56,31,Head_25,0.0,0.1205,0.1895,0.2993,0.1205,0.069,0.10980000000000001,0.2993,0.09976666666666667,True
57,15,Head_7,0.0,0.1298,0.1952,0.2966,0.1298,0.06540000000000001,0.10139999999999996,0.2966,0.09886666666666666,True
58,14,Head_30,0.0,0.1265,0.2039,0.2961,0.1265,0.0774,0.09219999999999998,0.2961,0.0987,True
59,14,Head_1,0.0,0.1262,0.2048,0.2944,0.1262,0.0786,0.08959999999999999,0.2944,0.09813333333333334,True
60,13,Head_23,0.0,0.1339,0.2169,0.2937,0.1339,0.08300000000000002,0.07680000000000001,0.2937,0.0979,True
61,13,Head_2,0.0,0.1332,0.2051,0.2891,0.1332,0.07189999999999999,0.08400000000000002,0.2891,0.09636666666666667,True
62,12,Head_21,0.0,0.1392,0.2136,0.2849,0.1392,0.07440000000000002,0.07129999999999997,0.2849,0.09496666666666666,True
63,18,Head_9,0.0,0.125,0.1986,0.2805,0.125,0.0736,0.08190000000000003,0.2805,0.09350000000000001,True
64,13,Head_14,0.0,0.1378,0.2051,0.2756,0.1378,0.0673,0.07050000000000001,0.2756,0.09186666666666667,True
65,20,Head_26,0.0,0.1261,0.1937,0.2725,0.1261,0.06760000000000002,0.07880000000000001,0.2725,0.09083333333333334,True
66,12,Head_28,0.0,0.1375,0.2054,0.2698,0.1375,0.06789999999999999,0.06439999999999999,0.2698,0.08993333333333332,True
67,16,Head_26,0.0,0.1577,0.2157,0.2693,0.1577,0.057999999999999996,0.05359999999999998,0.2693,0.08976666666666666,True
68,16,Head_4,0.0,0.124,0.1908,0.269,0.124,0.0668,0.07820000000000002,0.269,0.08966666666666667,True
69,31,Head_24,0.0,0.1201,0.1812,0.2678,0.1201,0.0611,0.08659999999999998,0.2678,0.08926666666666666,True
70,14,Head_12,0.0,0.1387,0.1962,0.2646,0.1387,0.05750000000000002,0.06839999999999999,0.2646,0.0882,True
71,15,Head_6,0.0,0.1188,0.1862,0.2634,0.1188,0.0674,0.07720000000000002,0.2634,0.0878,True
72,28,Head_18,0.0,0.1287,0.1838,0.2634,0.1287,0.05509999999999998,0.07960000000000003,0.2634,0.0878,True
73,12,Head_6,0.0,0.1346,0.2047,0.2632,0.1346,0.0701,0.058499999999999996,0.2632,0.08773333333333333,True
74,31,Head_2,0.0,0.1279,0.1893,0.2615,0.1279,0.06139999999999998,0.07220000000000001,0.2615,0.08716666666666667,True
75,13,Head_5,0.0,0.1362,0.2,0.2595,0.1362,0.06380000000000002,0.0595,0.2595,0.08650000000000001,True
76,14,Head_20,0.0,0.1066,0.1743,0.2595,0.1066,0.06770000000000001,0.0852,0.2595,0.08650000000000001,True
77,28,Head_0,0.0,0.1343,0.1896,0.2595,0.1343,0.05529999999999999,0.06990000000000002,0.2595,0.08650000000000001,True
78,11,Head_0,0.0,0.251,0.2183,0.2593,0.251,-0.03270000000000001,0.04099999999999998,0.2593,0.08643333333333332,False
79,21,Head_2,0.0,0.1259,0.1859,0.2561,0.1259,0.06,0.07019999999999998,0.2561,0.08536666666666666,True
80,28,Head_20,0.0,0.119,0.1826,0.2556,0.119,0.06360000000000002,0.07299999999999998,0.2556,0.0852,True
81,14,Head_6,0.0,0.1138,0.1783,0.2554,0.1138,0.06449999999999999,0.07710000000000003,0.2554,0.08513333333333334,True
82,16,Head_30,0.0,0.1103,0.1803,0.2546,0.1103,0.06999999999999999,0.0743,0.2546,0.08486666666666666,True
83,17,Head_25,0.0,0.1194,0.179,0.2542,0.1194,0.059599999999999986,0.07519999999999999,0.2542,0.08473333333333333,True
84,15,Head_21,0.0,0.1104,0.1641,0.2529,0.1104,0.0537,0.08880000000000002,0.2529,0.0843,True
85,29,Head_10,0.0,0.1232,0.1809,0.2522,0.1232,0.0577,0.07129999999999997,0.2522,0.08406666666666666,True
86,13,Head_7,0.0,0.1212,0.1869,0.252,0.1212,0.06570000000000001,0.06509999999999999,0.252,0.084,True
