Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13
0,0.0017461776733398438,0.01042938232421875,0.0004029273986816406,0.012237548828125,0.002658843994140625,0.035308837890625,0.0011415481567382812,0.00255584716796875,0.0091400146484375,0.0030193328857421875,0.002681732177734375,0.009185791015625,0.039794921875,0.00476837158203125
1,0.03472900390625,0.049835205078125,0.0301666259765625,0.03857421875,0.034942626953125,0.0295562744140625,0.03338623046875,0.0218963623046875,0.019073486328125,0.0167083740234375,0.02191162109375,0.0207977294921875,0.03662109375,0.03515625
2,0.04827880859375,0.07080078125,0.039031982421875,0.04083251953125,0.04962158203125,0.048095703125,0.0306549072265625,0.05938720703125,0.03265380859375,0.0528564453125,0.04547119140625,0.0531005859375,0.0911865234375,0.052764892578125
3,0.029449462890625,0.04248046875,0.0418701171875,0.048797607421875,0.024627685546875,0.03485107421875,0.00457763671875,0.01180267333984375,0.049285888671875,0.044036865234375,0.053680419921875,0.0241851806640625,0.01641845703125,0.0372314453125
4,0.037109375,0.035400390625,0.04620361328125,0.052215576171875,0.0465087890625,0.04827880859375,0.0509033203125,0.040252685546875,0.063720703125,0.036376953125,0.050537109375,0.10113525390625,0.058197021484375,0.04522705078125
5,0.201416015625,0.069091796875,0.0899658203125,0.0183563232421875,0.031982421875,0.053314208984375,0.0011615753173828125,0.07122802734375,0.12261962890625,0.06341552734375,0.06951904296875,0.0173187255859375,0.06719970703125,0.09765625
6,0.0845947265625,0.087158203125,0.10491943359375,0.1558837890625,0.0947265625,0.0635986328125,0.13232421875,0.048797607421875,0.06036376953125,0.05889892578125,0.06005859375,0.08746337890625,0.05059814453125,0.0936279296875
7,0.0986328125,0.111328125,0.151611328125,0.0628662109375,0.1617431640625,0.2529296875,0.1151123046875,0.060211181640625,0.04608154296875,0.035186767578125,0.09051513671875,0.0849609375,0.041778564453125,0.04522705078125
8,0.06707763671875,0.154296875,0.06494140625,0.0523681640625,0.07415771484375,0.076171875,0.12213134765625,0.0819091796875,0.08721923828125,0.07623291015625,0.0712890625,0.1412353515625,0.0792236328125,0.052703857421875
9,0.18603515625,0.1363525390625,0.211181640625,0.127685546875,0.23095703125,0.1474609375,0.2181396484375,0.0004127025604248047,0.0044403076171875,0.04315185546875,0.00032591819763183594,0.0858154296875,0.0306854248046875,0.00033783912658691406
10,0.2144775390625,0.2197265625,0.1260986328125,0.11773681640625,0.1820068359375,0.1173095703125,0.163330078125,0.1806640625,0.1405029296875,0.1055908203125,0.0626220703125,0.10009765625,0.128173828125,0.0849609375
11,0.381591796875,0.144775390625,0.270263671875,0.358642578125,0.36279296875,0.18310546875,0.111572265625,0.0263214111328125,0.00019288063049316406,0.0259246826171875,0.05682373046875,0.006107330322265625,0.04071044921875,0.095703125
12,0.30517578125,0.2449951171875,0.1085205078125,0.1654052734375,0.1842041015625,0.1982421875,0.1541748046875,0.091552734375,0.05718994140625,0.09039306640625,0.01035308837890625,0.134033203125,0.1534423828125,0.053009033203125
13,0.11651611328125,0.0950927734375,0.1776123046875,0.262939453125,0.240478515625,0.310791015625,0.2705078125,0.108642578125,0.048492431640625,0.0633544921875,0.12274169921875,0.116943359375,0.135498046875,0.023345947265625
14,0.302490234375,0.295654296875,0.267822265625,0.14306640625,0.2122802734375,0.2366943359375,0.150634765625,0.2578125,0.1492919921875,0.5009765625,0.17529296875,0.227783203125,0.20556640625,0.232177734375
