Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27
0,0.1427001953125,0.0183563232421875,0.10693359375,0.05438232421875,0.08544921875,0.01198577880859375,0.04034423828125,0.046142578125,0.024871826171875,0.050262451171875,0.05340576171875,0.028656005859375,0.036407470703125,0.0634765625,0.13623046875,0.0007009506225585938,0.034149169921875,0.09521484375,0.0924072265625,0.15283203125,0.0225067138671875,0.0567626953125,0.04498291015625,0.0631103515625,0.04949951171875,0.058197021484375,0.046142578125,0.05987548828125
1,0.06640625,0.07550048828125,0.10052490234375,0.06951904296875,0.045562744140625,0.06640625,0.093505859375,0.061279296875,0.041229248046875,0.0787353515625,0.06072998046875,0.052459716796875,0.09857177734375,0.041015625,0.064453125,0.06719970703125,0.08819580078125,0.0762939453125,0.05157470703125,0.077392578125,0.06927490234375,0.057098388671875,0.07769775390625,0.141357421875,0.09527587890625,0.094482421875,0.07354736328125,0.08636474609375
2,0.05596923828125,0.0645751953125,0.06658935546875,0.06207275390625,0.049224853515625,0.059112548828125,0.07757568359375,0.07867431640625,0.089111328125,0.0745849609375,0.06585693359375,0.0650634765625,0.0665283203125,0.11181640625,0.1396484375,0.09228515625,0.1614990234375,0.10736083984375,0.07684326171875,0.10186767578125,0.09796142578125,0.10601806640625,0.284423828125,0.11065673828125,0.11944580078125,0.118896484375,0.087158203125,0.1292724609375
3,0.07757568359375,0.0765380859375,0.08831787109375,0.0859375,0.0672607421875,0.06781005859375,0.09356689453125,0.1455078125,0.09307861328125,0.12841796875,0.1636962890625,0.1427001953125,0.11883544921875,0.1385498046875,0.12384033203125,0.1214599609375,0.1279296875,0.122314453125,0.08099365234375,0.10760498046875,0.127685546875,0.113037109375,0.11285400390625,0.12213134765625,0.1099853515625,0.12060546875,0.109130859375,0.1214599609375
4,0.0853271484375,0.0906982421875,0.286865234375,0.1134033203125,0.38232421875,0.1370849609375,0.2158203125,0.0022449493408203125,0.108642578125,0.1851806640625,0.007038116455078125,0.219970703125,0.2041015625,0.004444122314453125,0.018829345703125,0.199951171875,0.176513671875,0.10711669921875,0.08203125,0.1744384765625,0.27001953125,0.0751953125,0.023834228515625,0.077392578125,0.0950927734375,0.12432861328125,0.06640625,0.0096588134765625
5,0.64306640625,0.159423828125,0.063232421875,0.07513427734375,0.169921875,0.458740234375,0.1783447265625,0.258544921875,0.1844482421875,0.15966796875,0.4033203125,0.08599853515625,0.07586669921875,0.2646484375,0.08258056640625,0.11370849609375,0.1214599609375,0.083251953125,0.2252197265625,0.037933349609375,0.122802734375,0.52783203125,0.289794921875,0.263916015625,0.11407470703125,0.11151123046875,0.94775390625,0.332763671875
6,0.139404296875,0.09051513671875,0.328857421875,0.10931396484375,0.03271484375,0.0706787109375,0.092041015625,0.27392578125,0.03436279296875,0.299560546875,0.348388671875,0.1474609375,0.1309814453125,0.1739501953125,0.27099609375,0.25244140625,0.30126953125,0.21533203125,0.5205078125,0.16015625,0.2056884765625,0.04608154296875,0.1741943359375,0.31787109375,0.2420654296875,0.08026123046875,0.177001953125,0.10247802734375
7,0.459716796875,0.560546875,0.5029296875,0.3115234375,0.1937255859375,0.23193359375,0.2008056640625,0.181396484375,0.197998046875,0.56982421875,0.281494140625,0.21142578125,0.17041015625,0.368896484375,0.317138671875,0.1683349609375,0.344482421875,0.27392578125,0.45263671875,0.28369140625,0.481689453125,0.1497802734375,0.2474365234375,0.14208984375,0.135986328125,0.124267578125,0.1480712890625,0.308349609375
8,0.38525390625,0.0723876953125,0.1871337890625,0.23681640625,0.2239990234375,0.33203125,0.4287109375,0.26025390625,0.658203125,0.35205078125,0.319091796875,0.346923828125,0.4638671875,0.39892578125,0.044647216796875,0.0697021484375,0.0209197998046875,0.224365234375,0.20654296875,0.0298309326171875,0.14794921875,0.26611328125,0.374755859375,0.050750732421875,0.54345703125,0.380126953125,0.2841796875,0.348388671875
9,0.460693359375,0.79541015625,0.280029296875,0.352294921875,0.303466796875,0.66064453125,0.1234130859375,0.521484375,0.2958984375,0.58251953125,0.343017578125,0.2327880859375,0.43212890625,0.467529296875,0.365234375,0.41259765625,0.982421875,0.38818359375,0.35009765625,0.50341796875,0.444580078125,0.1983642578125,0.263427734375,0.29638671875,0.2332763671875,0.24609375,0.10491943359375,0.6201171875
