Layer,certain,not_enough_info
0,11.9296875,11.9296875
1,11.921875,11.921875
2,11.9140625,11.9140625
3,11.9140625,11.9140625
4,11.9140625,11.9140625
5,11.906548838797814,11.906889931740615
6,11.9140625,11.914009172354948
7,11.8984375,11.8984375
8,11.90625,11.90625
9,11.905396174863387,11.90515678327645
10,11.90625,11.90643664675768
11,11.902962773224044,11.902837030716723
12,11.8984375,11.898464163822526
13,11.8984375,11.898464163822526
14,11.884050546448087,11.884732295221843
15,11.87786031420765,11.878306313993175
16,11.874530396174864,11.874626706484642
17,11.799436475409836,11.799381399317406
18,11.754012978142077,11.754159556313994
19,11.714907786885245,11.713737201365188
20,11.577698087431694,11.576951791808874
21,11.444714822404372,11.443925981228668
22,11.13067793715847,11.130359428327646
23,11.60361168032787,11.604735494880545
