Example,Label,PC1,PC2
152,certain,-0.8086967,0.6641756
153,certain,-0.6217927,0.30923036
154,certain,-0.55683017,0.21786702
155,certain,0.472824,0.2942158
156,certain,-0.18665375,-0.904818
157,certain,-0.20133309,-0.79205644
158,certain,-0.28588194,-1.0636188
159,certain,-0.063024074,-0.67410904
160,certain,-0.06262936,-0.6092743
161,certain,-0.68165964,0.3479758
162,certain,-0.61559755,0.21075837
163,certain,-0.56402314,0.1454739
164,certain,-0.62038434,0.34803072
165,certain,-0.36369014,0.14948007
166,certain,0.6151359,0.20112169
167,certain,-0.47872293,0.29653203
168,certain,-0.5872075,0.23532195
169,certain,-0.26848406,0.15026695
170,certain,-0.06252652,0.23659442
171,certain,-0.45856857,0.20724076
172,certain,-0.33327502,0.41757345
173,certain,-0.34705192,0.42211112
174,certain,-0.5715251,0.4010592
175,certain,-0.4869,0.20522006
176,certain,-0.67960733,0.058231056
177,certain,-0.5599101,0.02999329
178,certain,-0.4487202,-0.25001207
179,certain,-0.48031184,0.07799334
180,certain,-0.45257324,-0.5568755
181,certain,-0.4798612,-1.050689
182,certain,-0.4547466,-0.06694727
183,not_enough_info,-0.1835577,-0.39211765
184,not_enough_info,0.6005066,0.052153286
185,not_enough_info,0.7290633,0.16772927
186,not_enough_info,0.61029935,0.070309155
187,not_enough_info,0.6019749,0.057528336
188,not_enough_info,0.7010319,0.012434889
189,not_enough_info,0.7014739,0.32183078
190,not_enough_info,0.62529904,0.3803731
191,not_enough_info,-0.6271157,0.49425882
192,not_enough_info,0.559929,0.66646826
193,not_enough_info,-0.2934397,0.5662991
194,not_enough_info,0.1470465,-0.6755575
195,not_enough_info,-0.07326516,-0.31003082
196,not_enough_info,0.92146814,-0.45043346
197,not_enough_info,0.8445844,-0.47176638
198,not_enough_info,-0.47892046,0.002292804
199,not_enough_info,0.7579509,0.04331313
200,not_enough_info,-0.56355524,-0.4649951
201,not_enough_info,-0.45468387,-0.1574397
202,not_enough_info,-0.41772828,0.26626056
203,not_enough_info,-0.33449134,0.07557506
204,not_enough_info,-0.46628526,0.07784516
205,not_enough_info,0.12187246,-0.04669949
206,not_enough_info,-0.19081472,0.4214371
207,not_enough_info,0.3381841,-0.11590886
208,not_enough_info,0.109787315,-0.14518575
209,not_enough_info,0.84940404,0.28927603
210,not_enough_info,-0.13314179,-0.12530726
211,not_enough_info,0.159877,-0.9482222
212,not_enough_info,0.8526496,0.3676136
213,not_enough_info,0.14233999,-0.027194696
214,not_enough_info,-0.14013234,0.09322256
215,not_enough_info,0.68369114,0.3570007
216,not_enough_info,0.7032813,0.48381796
217,not_enough_info,-0.38448194,0.09228196
218,not_enough_info,-0.52102476,0.15994257
219,not_enough_info,-0.42248148,0.20290616
220,not_enough_info,-0.36848983,0.49305165
221,not_enough_info,0.5797292,0.34556717
222,not_enough_info,0.8466782,0.32482475
223,not_enough_info,0.841202,0.51477647
224,not_enough_info,-0.008094357,0.35323825
225,not_enough_info,-0.024087243,-0.38365617
226,not_enough_info,-0.11103875,0.16348217
227,not_enough_info,-0.32054693,0.1895556
228,not_enough_info,-0.116187975,0.0036235335
229,not_enough_info,0.5011781,0.55252194
230,not_enough_info,-0.16840735,-0.14556986
231,not_enough_info,-0.2944486,0.22414449
232,not_enough_info,-0.45317784,0.20213439
233,not_enough_info,0.6902703,0.45697692
234,not_enough_info,-0.42344975,-0.026804965
235,not_enough_info,0.5602763,0.5035856
236,not_enough_info,-0.6866272,-0.01990982
237,not_enough_info,-0.52137405,0.24085198
238,not_enough_info,0.6168541,0.4537624
239,not_enough_info,-0.20654261,-0.27041408
240,not_enough_info,0.006276699,-0.90399384
241,not_enough_info,0.28176737,-0.621667
242,not_enough_info,0.24172194,-0.2038069
243,not_enough_info,0.1133571,-0.071860716
244,not_enough_info,0.16355477,-0.35207346
245,not_enough_info,-0.13981952,-0.20103644
246,not_enough_info,-0.037404966,-0.29397243
247,not_enough_info,0.755101,-0.34610903
248,not_enough_info,0.79265624,-0.25808895
249,not_enough_info,0.78117114,0.06855351
250,not_enough_info,0.6934588,-0.033964526
251,not_enough_info,0.7237438,0.07338003
252,not_enough_info,0.8262746,-0.10897586
253,not_enough_info,-0.07856199,0.118584
254,not_enough_info,-0.2074688,-0.22075073
255,not_enough_info,0.282293,-0.27498105
256,not_enough_info,0.7829221,-0.33653525
257,not_enough_info,0.85075974,-0.15639709
258,not_enough_info,-0.051972114,-0.503654
259,not_enough_info,-0.39119402,-0.09897037
260,not_enough_info,0.47829112,-0.8323928
261,not_enough_info,0.6849757,0.23778251
262,not_enough_info,-0.2637494,0.07492276
263,not_enough_info,-0.2939777,0.22453572
264,not_enough_info,-0.25324097,-0.668203
265,not_enough_info,0.8443373,-0.06506584
266,not_enough_info,0.86587805,-0.12257499
267,not_enough_info,-0.1428074,-0.21042426
268,not_enough_info,-0.15225786,-0.7266874
269,not_enough_info,-0.12553996,-0.53617954
270,not_enough_info,-0.55244213,0.08663776
271,not_enough_info,-0.23071174,-0.0129537275
272,not_enough_info,-0.10201276,0.35534194
273,not_enough_info,-0.35898218,0.27885547
274,not_enough_info,0.17135149,0.23044316
275,not_enough_info,-0.18471381,0.09942642
276,not_enough_info,-0.011676673,0.13275701
277,not_enough_info,-0.26618606,0.3461543
278,not_enough_info,-0.061015155,-0.04587024
279,not_enough_info,0.6449751,0.33063972
280,not_enough_info,0.4819854,0.25702474
281,not_enough_info,0.5056164,0.39436072
282,not_enough_info,-0.5060721,0.009216124
283,not_enough_info,0.72574896,0.47226736
284,not_enough_info,0.05889614,-0.59129727
285,not_enough_info,0.7816291,0.124579184
