Layer,certain,not_enough_info
0,0.0,0.0
1,0.08401105703551913,0.08526423848122867
2,0.05973574112021858,0.05971863001279863
3,0.07881873292349727,0.07830331431313993
4,0.07758335467896176,0.0771551034556314
5,0.14537440232240437,0.14521784343003413
6,0.08582009904371585,0.08612081377986348
7,0.09422760843579235,0.09489321139078498
8,0.11976498463114754,0.11962890625
9,0.16483361082650272,0.16510405556740615
10,0.09285081540300547,0.09296508372440274
11,0.08624967981557377,0.08581751279863481
12,0.09570579320355191,0.09526317192832764
13,0.0885896943306011,0.08813726535836178
14,0.08712751878415301,0.08723236188139932
15,0.0551117443647541,0.055592403476962454
16,0.06970948599726776,0.0692859428327645
17,0.0576385331284153,0.056363987841296925
18,0.08467010331284153,0.08724902677047781
19,0.0986087986680328,0.10865507679180887
20,0.08405908469945356,0.09359668302047781
21,0.07429879610655737,0.08385938833191127
22,0.07598510075136612,0.08105302101109214
23,0.05287045338114754,0.05698058873720137
24,0.04319021089480874,0.04636172141638225
25,0.04646943306010929,0.047599922674914676
26,0.05638981386612022,0.060621867000853244
27,0.5338595030737705,0.4772740907636519
