Layer,certain,manipulated_1,manipulated_2,manipulated_3,manipulated_4,manipulated_5
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0868713712431694,0.08607390245445344,0.08709214154411765,0.08760448168682795,0.08838418496621622,0.08834980339403974
2,0.058017418032786885,0.05823396381578947,0.05690774356617647,0.056063088037634407,0.05575907939189189,0.05386615273178808
3,0.07511793459699453,0.07557486715587045,0.07569508272058824,0.07557333669354839,0.0745407516891892,0.07471673220198675
4,0.07720180157103824,0.07742519610323886,0.07705939797794117,0.0773532006048387,0.07769214527027027,0.07848393522350994
5,0.14678855020491804,0.1471406882591093,0.1469094669117647,0.14797547043010753,0.14930584881756756,0.14828551841887416
6,0.08809874487704918,0.08786887968117409,0.08800838694852942,0.08872805359543011,0.08951119087837837,0.08877017798013245
7,0.0945557974726776,0.0945565536437247,0.09421817555147059,0.0946819346438172,0.09492715371621621,0.09456811361754967
8,0.12191022028688525,0.12108188891700405,0.12136086856617648,0.12187342489919355,0.12312605574324324,0.12356425910596026
9,0.16353686390027322,0.16389644483805668,0.164599609375,0.16483954973118278,0.1656909839527027,0.16527835264900662
10,0.09181021601775956,0.09226538777834008,0.09210133272058824,0.09098569808467742,0.09019478462837838,0.09046784457781457
11,0.08149760928961748,0.08153506136133604,0.0805807674632353,0.08009387600806452,0.07957400760135135,0.07986147040562915
12,0.0940274931693989,0.09392989309210527,0.09341969209558823,0.09331684727822581,0.09319837415540541,0.0941251034768212
13,0.0895662568306011,0.08951163967611336,0.08956227022058824,0.08954448084677419,0.0888328758445946,0.08945894557119205
14,0.08772519637978142,0.08765538018724696,0.0874167049632353,0.08756772933467742,0.08679529138513513,0.08803613927980132
15,0.053873697916666664,0.053687215334008095,0.05337201286764706,0.05354555191532258,0.05350242820945946,0.05396316225165563
16,0.07175866632513661,0.07134441422064777,0.07153607536764706,0.07118143061155914,0.07061602618243243,0.07161889486754967
17,0.05664862961065574,0.056523991017206475,0.05625287224264706,0.056343981014784945,0.05611539273648649,0.056841111341059604
18,0.08007278859289617,0.07842350392206478,0.07867647058823529,0.07737420194892473,0.07636190878378378,0.07579353787251655
19,0.09513212943989072,0.09585929592611336,0.09626321231617647,0.09548261088709678,0.09467905405405405,0.09439673013245033
20,0.08225537909836066,0.08280419724190283,0.08133616727941176,0.08063466061827956,0.07916490709459459,0.07840956125827815
21,0.06875960553278689,0.06824471786437247,0.06579733455882353,0.06453975554435484,0.0635108741554054,0.06358650662251655
22,0.06914382684426229,0.06909673899291498,0.06740291819852941,0.06655325940860216,0.06627164273648649,0.06628983857615894
23,0.0468109631147541,0.04628787639170041,0.045326861213235294,0.045286773353494625,0.044974662162162164,0.04464054739238411
24,0.039518762807377046,0.039214717231781375,0.03713522518382353,0.03666047127016129,0.03619087837837838,0.03673103787251655
25,0.04404670423497268,0.044324867155870445,0.04494772518382353,0.044869371639784945,0.04463418496621622,0.04462437913907285
26,0.05365757342896175,0.054446324645748986,0.05377412683823529,0.0540548345094086,0.05419921875,0.054616359685430466
27,0.5629669356215847,0.5506349633097166,0.5492015165441176,0.5519993279569892,0.5591691300675675,0.5607893987996688
