Layer,certain,not_enough_info
0,0.0,0.0
1,0.17124797216530055,0.17145504479522183
2,0.08059308828551913,0.08023977442406144
3,0.08378159153005464,0.08376773144197952
4,0.12057611851092896,0.1201205204778157
5,0.13744450136612021,0.13704538182593856
6,0.10319277237021858,0.10290402357081911
7,0.12559234118852458,0.12552994347269625
8,0.10319277237021858,0.10313566552901024
9,0.07809564976092896,0.07803667608788396
10,0.11356141137295082,0.11323958777730375
11,0.16163710297131148,0.1606511972056314
12,0.10173059682377049,0.10080424754692832
13,0.08906463456284153,0.08882219229948805
14,0.09492134135928962,0.09494987201365188
15,0.08263693220628415,0.08293282049914676
16,0.08350143015710383,0.08331944592576791
17,0.07408800802595629,0.07482701845136519
18,0.03584464651639344,0.035599536049488054
19,0.034110314207650275,0.0337180700725256
20,0.05836428449453552,0.05805047461604096
21,0.04012177681010929,0.04022904223549488
22,0.07241771260245902,0.07290222376279863
23,0.4123628543374317,0.4152690379692833
