Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
22,tensor(0.0769),tensor(0.0877),tensor(0.0731),tensor(0.0384),tensor(0.0906),tensor(0.0628),tensor(0.0928),tensor(0.0733),tensor(0.0926),tensor(0.1004),tensor(0.0992),tensor(0.0980),tensor(0.0652),tensor(0.0493),tensor(0.1967),tensor(0.0671),tensor(0.2737),tensor(0.1145),tensor(0.1171),tensor(0.2246),tensor(0.0147),tensor(0.0145),tensor(0.0092),tensor(0.0115),tensor(0.1050),tensor(0.0356),tensor(0.0325),tensor(0.1278),tensor(0.0975),tensor(0.2012),tensor(0.0292),tensor(0.0693)
23,tensor(0.0205),tensor(0.0287),tensor(0.0159),tensor(0.0334),tensor(0.0208),tensor(0.0508),tensor(0.0699),tensor(0.0546),tensor(0.0548),tensor(0.0755),tensor(0.0339),tensor(0.0212),tensor(0.0405),tensor(0.0500),tensor(0.0875),tensor(0.0289),tensor(0.0221),tensor(0.0921),tensor(0.0289),tensor(0.0654),tensor(0.0494),tensor(0.0186),tensor(0.0732),tensor(0.0115),tensor(0.0273),tensor(0.0718),tensor(0.0043),tensor(0.0524),tensor(0.4426),tensor(0.0256),tensor(0.0358),tensor(0.0279)
24,tensor(0.0240),tensor(0.0173),tensor(0.0601),tensor(0.0446),tensor(0.0187),tensor(0.0109),tensor(0.0211),tensor(0.0194),tensor(0.0072),tensor(0.0053),tensor(0.0120),tensor(0.0076),tensor(0.0260),tensor(0.1117),tensor(0.1232),tensor(0.0620),tensor(0.0567),tensor(0.1302),tensor(0.0635),tensor(0.0215),tensor(0.0379),tensor(0.0161),tensor(0.0534),tensor(0.0464),tensor(0.0580),tensor(0.0644),tensor(0.0715),tensor(0.0816),tensor(0.0829),tensor(0.0513),tensor(0.0119),tensor(0.0140)
25,tensor(0.0294),tensor(0.0676),tensor(0.0264),tensor(0.0064),tensor(0.0439),tensor(0.0531),tensor(0.0388),tensor(0.0945),tensor(0.0100),tensor(0.0081),tensor(0.0575),tensor(0.1019),tensor(0.0604),tensor(0.0449),tensor(0.1187),tensor(0.0682),tensor(0.0477),tensor(0.0395),tensor(0.2047),tensor(0.0261),tensor(0.0999),tensor(0.0439),tensor(0.0179),tensor(0.0997),tensor(0.0539),tensor(0.0116),tensor(0.0591),tensor(0.0474),tensor(0.0243),tensor(0.0095),tensor(0.0098),tensor(0.0093)
26,tensor(0.1301),tensor(0.2045),tensor(0.0591),tensor(0.1635),tensor(0.0314),tensor(0.0190),tensor(0.0313),tensor(0.0247),tensor(0.0086),tensor(0.0282),tensor(0.0739),tensor(0.0067),tensor(0.0564),tensor(0.0499),tensor(0.0690),tensor(0.0795),tensor(0.0193),tensor(0.1161),tensor(0.0313),tensor(0.1785),tensor(0.0316),tensor(0.1990),tensor(0.0997),tensor(0.3787),tensor(0.1670),tensor(0.0294),tensor(0.0349),tensor(0.1198),tensor(0.0242),tensor(0.0700),tensor(0.1443),tensor(0.0528)
27,tensor(0.0187),tensor(0.0273),tensor(0.0225),tensor(0.0100),tensor(0.0567),tensor(0.0960),tensor(0.0718),tensor(0.1036),tensor(0.2930),tensor(0.0624),tensor(0.0955),tensor(0.1366),tensor(0.0426),tensor(0.0348),tensor(0.0817),tensor(0.1405),tensor(0.1735),tensor(0.0127),tensor(0.0249),tensor(0.0502),tensor(0.1324),tensor(0.0743),tensor(0.0838),tensor(0.0720),tensor(0.0253),tensor(0.0121),tensor(0.0127),tensor(0.0120),tensor(0.1893),tensor(0.1177),tensor(0.0587),tensor(0.0241)
28,tensor(0.2451),tensor(0.0263),tensor(0.0170),tensor(0.0745),tensor(0.0137),tensor(0.0722),tensor(0.0175),tensor(0.0182),tensor(0.0266),tensor(0.0528),tensor(0.3716),tensor(0.1544),tensor(0.0182),tensor(0.0901),tensor(0.0321),tensor(0.0795),tensor(0.1780),tensor(0.1171),tensor(0.2012),tensor(0.0316),tensor(0.2163),tensor(0.1761),tensor(0.0163),tensor(0.2029),tensor(0.0338),tensor(0.0309),tensor(0.0381),tensor(0.0704),tensor(0.0158),tensor(0.2128),tensor(0.3306),tensor(0.1210)
29,tensor(0.0114),tensor(0.0081),tensor(0.0217),tensor(0.0243),tensor(0.0214),tensor(0.0677),tensor(0.0111),tensor(0.0118),tensor(0.2866),tensor(0.1533),tensor(0.2330),tensor(0.2004),tensor(0.0061),tensor(0.0150),tensor(0.0178),tensor(0.0194),tensor(0.0973),tensor(0.0245),tensor(0.0039),tensor(0.0430),tensor(0.0770),tensor(0.1575),tensor(0.1067),tensor(0.1243),tensor(0.0150),tensor(0.1727),tensor(0.0200),tensor(0.0164),tensor(0.0603),tensor(0.0605),tensor(0.0833),tensor(0.0862)
30,tensor(0.1669),tensor(0.3123),tensor(0.1891),tensor(0.0756),tensor(0.0716),tensor(0.0111),tensor(0.1901),tensor(0.0218),tensor(0.0649),tensor(0.2036),tensor(0.0939),tensor(0.0670),tensor(0.1998),tensor(0.1043),tensor(0.1366),tensor(0.1179),tensor(0.0220),tensor(0.0336),tensor(0.1589),tensor(0.0823),tensor(0.0794),tensor(0.0288),tensor(0.0528),tensor(0.0354),tensor(0.2578),tensor(0.3579),tensor(0.2888),tensor(0.4900),tensor(0.0385),tensor(0.0851),tensor(0.1443),tensor(0.0707)
31,tensor(0.2177),tensor(0.2081),tensor(0.2349),tensor(0.5996),tensor(0.0300),tensor(0.1249),tensor(0.0830),tensor(0.1122),tensor(0.0112),tensor(0.0338),tensor(0.0078),tensor(0.2083),tensor(0.1825),tensor(0.1278),tensor(0.5601),tensor(0.0820),tensor(0.0196),tensor(0.0105),tensor(0.0992),tensor(0.0213),tensor(0.0778),tensor(0.0834),tensor(0.0712),tensor(0.0720),tensor(0.2457),tensor(0.2651),tensor(0.3430),tensor(0.1053),tensor(0.1584),tensor(0.0528),tensor(0.0359),tensor(0.0609)
