Example,Label,PC1,PC2
158,certain,2.0715466,-2.1319604
159,certain,-2.0246084,-1.5119746
160,certain,-3.0240643,-1.2078013
161,certain,2.4754925,-2.2264385
162,certain,3.4723547,-2.447796
163,certain,3.3692746,-2.3516
164,certain,1.8058615,-2.0521753
165,certain,-2.5036376,-1.5009161
166,certain,-5.4517827,-1.4739515
167,certain,1.7645633,-1.8094009
168,certain,1.2690048,-1.6423756
169,certain,-1.150524,-1.3960559
170,certain,-2.1779752,-1.2760623
171,certain,-0.15847379,-1.1368761
172,certain,-0.62313336,-1.5887487
173,certain,-1.0482666,-1.5615155
174,certain,1.6460636,-1.8929119
175,certain,1.6799484,-1.7113854
176,certain,2.8419955,-2.2065012
177,certain,1.24821,-2.205628
178,certain,1.623392,-2.0591686
179,certain,-0.16694021,-1.9918103
180,certain,3.1029315,-2.3825886
181,certain,2.8072653,-2.2289524
182,certain,1.1887975,-2.2057507
183,manipulated_1,-7.2491045,-0.81255156
184,manipulated_1,-6.849577,-0.9384355
185,manipulated_1,-6.216616,-0.9753836
186,manipulated_1,3.0226421,-2.0153937
187,manipulated_1,4.055768,-2.2083106
188,manipulated_1,3.9253438,-2.2645817
189,manipulated_1,1.719131,1.8415127
190,manipulated_1,-1.067309,2.1140268
191,manipulated_1,0.16619125,2.110627
192,manipulated_1,0.976881,3.1842432
193,manipulated_1,0.95929044,2.6166103
194,manipulated_1,-0.17057656,2.5218773
195,manipulated_1,2.2130811,-1.7655069
196,manipulated_1,1.8656498,-2.042676
197,manipulated_1,1.3440537,-1.7553347
198,manipulated_1,0.14459574,-0.860543
199,manipulated_1,0.49289152,-1.2181736
200,manipulated_1,-0.73240316,-1.163405
201,manipulated_1,2.1854444,-1.1793514
202,manipulated_1,0.2208872,-1.1534753
203,manipulated_1,0.4696766,-1.1759267
204,manipulated_1,0.45212874,2.667266
205,manipulated_1,0.13056247,1.8623064
206,manipulated_1,-0.5739676,2.1477273
207,manipulated_1,-1.0290241,-1.4742907
208,manipulated_1,-2.5939307,-1.571561
209,manipulated_1,-4.092417,-1.4551085
210,manipulated_1,-5.9941835,-1.4883903
211,manipulated_1,-5.3217773,-1.5844108
212,manipulated_1,-6.1147165,-1.5790431
213,manipulated_1,0.938619,-1.8860419
