Layer,certain,not_enough_info
0,0.0,0.008835600689053535
1,0.0,0.016864586621522903
2,0.0,0.03196858614683151
3,0.0,0.03364499658346176
4,0.0,0.05067551136016846
5,0.0,0.05926548317074776
6,0.0,0.06861578673124313
7,0.0,0.08348660916090012
8,0.0,0.08574432879686356
9,0.0,0.10110949724912643
10,0.0,0.11887983977794647
11,0.0,0.19975629448890686
12,0.0,0.20976781845092773
13,0.0,0.22487936913967133
14,0.0,0.36067771911621094
15,0.0,0.45809993147850037
16,0.0,0.5504946708679199
17,0.0,0.6114562749862671
18,0.0,0.7270828485488892
19,0.0,0.8160690069198608
20,0.0,1.049941062927246
21,0.0,1.7550359964370728
22,0.0,2.255589723587036
23,0.0,2.7178561687469482
