Rank,Head,certain_mean_over_layers,manipulated_1_mean_over_layers,manipulated_2_mean_over_layers,manipulated_3_mean_over_layers,increase_certain_to_manipulated_1,increase_manipulated_1_to_manipulated_2,increase_manipulated_2_to_manipulated_3,total_increase_certain_to_manipulated_3,trend_slope_per_step,monotonic_increase
1,Head_11,0.0,0.06347187500000001,0.09701562500000001,0.134221875,0.06347187500000001,0.03354375,0.03720624999999998,0.134221875,0.044740625,True
2,Head_24,0.0,0.061496875000000006,0.09056875,0.123459375,0.061496875000000006,0.029071874999999997,0.03289062499999999,0.123459375,0.041153125,True
3,Head_23,0.0,0.060181250000000006,0.09034062500000001,0.12320624999999999,0.060181250000000006,0.030159375000000002,0.03286562499999998,0.12320624999999999,0.041068749999999994,True
4,Head_8,0.0,0.05729375,0.0862125,0.119053125,0.05729375,0.02891875,0.032840625,0.119053125,0.039684375,True
5,Head_25,0.0,0.056996874999999995,0.0862625,0.1188375,0.056996874999999995,0.02926562500000001,0.03257499999999999,0.1188375,0.0396125,True
6,Head_10,0.0,0.054381250000000006,0.082775,0.11538124999999999,0.054381250000000006,0.028393749999999995,0.03260624999999999,0.11538124999999999,0.038460416666666664,True
7,Head_0,0.0,0.0594625,0.0844125,0.11538124999999998,0.0594625,0.02495,0.030968749999999975,0.11538124999999998,0.03846041666666666,True
8,Head_20,0.0,0.054887500000000006,0.083215625,0.11523125000000001,0.054887500000000006,0.028328124999999996,0.032015625000000006,0.11523125000000001,0.03841041666666667,True
9,Head_26,0.0,0.056946874999999994,0.083553125,0.11418125000000001,0.056946874999999994,0.026606250000000012,0.030628125000000006,0.11418125000000001,0.03806041666666667,True
10,Head_9,0.0,0.0541375,0.08171250000000001,0.11310312500000001,0.0541375,0.02757500000000001,0.031390625000000005,0.11310312500000001,0.03770104166666667,True
11,Head_3,0.0,0.05246875000000001,0.08057500000000001,0.110934375,0.05246875000000001,0.02810625,0.030359374999999994,0.110934375,0.036978125,True
12,Head_14,0.0,0.05484375,0.08246875000000001,0.11075312500000001,0.05484375,0.02762500000000001,0.028284375,0.11075312500000001,0.036917708333333334,True
13,Head_15,0.0,0.051290625,0.078365625,0.10738125,0.051290625,0.027074999999999995,0.029015625000000003,0.10738125,0.03579375,True
14,Head_28,0.0,0.05138125,0.077075,0.106109375,0.05138125,0.02569375,0.029034375,0.106109375,0.03536979166666667,True
15,Head_4,0.0,0.04904375,0.0748,0.1046375,0.04904375,0.02575625000000001,0.02983749999999999,0.1046375,0.03487916666666666,True
16,Head_22,0.0,0.05039375,0.07566562499999999,0.10208125,0.05039375,0.025271874999999985,0.026415625000000012,0.10208125,0.03402708333333333,True
17,Head_27,0.0,0.05026875,0.07553125,0.10179375,0.05026875,0.025262499999999993,0.026262500000000008,0.10179375,0.03393125,True
18,Head_5,0.0,0.04930625,0.07392812500000001,0.101621875,0.04930625,0.02462187500000001,0.02769374999999999,0.101621875,0.033873958333333336,True
19,Head_21,0.0,0.0495,0.0743,0.100971875,0.0495,0.024800000000000003,0.026671874999999998,0.100971875,0.033657291666666665,True
20,Head_30,0.0,0.0487375,0.072496875,0.0985375,0.0487375,0.023759375,0.026040624999999998,0.0985375,0.03284583333333333,True
21,Head_2,0.0,0.047765625000000006,0.0721,0.09740625,0.047765625000000006,0.02433437499999999,0.025306250000000002,0.09740625,0.03246875,True
22,Head_12,0.0,0.04714375,0.06923125,0.095225,0.04714375,0.022087499999999996,0.02599375000000001,0.095225,0.03174166666666667,True
23,Head_29,0.0,0.046409374999999996,0.06986875000000001,0.09507499999999999,0.046409374999999996,0.02345937500000001,0.025206249999999986,0.09507499999999999,0.03169166666666667,True
24,Head_6,0.0,0.046334375,0.0677625,0.090725,0.046334375,0.021428125000000006,0.022962499999999997,0.090725,0.030241666666666667,True
25,Head_1,0.0,0.045590624999999996,0.06789999999999999,0.09060625,0.045590624999999996,0.022309374999999992,0.02270625000000001,0.09060625,0.030202083333333334,True
26,Head_31,0.0,0.0439947204375,0.06524809875,0.08956983034375002,0.0439947204375,0.021253378312499994,0.02432173159375002,0.08956983034375002,0.029856610114583338,True
27,Head_18,0.0,0.042034375,0.06208749999999999,0.08524375000000001,0.042034375,0.02005312499999999,0.023156250000000017,0.08524375000000001,0.028414583333333337,True
28,Head_16,0.0,0.04326875,0.06364375,0.084853125,0.04326875,0.020374999999999997,0.021209375000000003,0.084853125,0.028284375,True
29,Head_13,0.0,0.041878125,0.062203125,0.084140625,0.041878125,0.020324999999999996,0.0219375,0.084140625,0.028046875,True
30,Head_7,0.0,0.04059375,0.0599625,0.08170312500000002,0.04059375,0.019368750000000004,0.021740625000000013,0.08170312500000002,0.027234375000000005,True
31,Head_19,0.0,0.03994062500000001,0.057931250000000004,0.07726875,0.03994062500000001,0.017990624999999996,0.019337499999999994,0.07726875,0.025756249999999998,True
32,Head_17,0.0,0.03375,0.049521875,0.067325,0.03375,0.015771874999999998,0.017803124999999996,0.067325,0.022441666666666665,True
