Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11,Head_12,Head_13,Head_14,Head_15,Head_16,Head_17,Head_18,Head_19,Head_20,Head_21,Head_22,Head_23,Head_24,Head_25,Head_26,Head_27,Head_28,Head_29,Head_30,Head_31
0,tensor(0.0010),tensor(0.0023),tensor(0.0021),tensor(0.0018),tensor(0.0016),tensor(0.0024),tensor(0.0014),tensor(0.0023),tensor(0.0079),tensor(0.0050),tensor(0.0036),tensor(0.0112),tensor(0.0026),tensor(0.0045),tensor(0.0055),tensor(0.0022),tensor(0.0097),tensor(0.0038),tensor(0.0011),tensor(0.0052),tensor(0.0045),tensor(0.0025),tensor(0.0059),tensor(0.0065),tensor(0.0013),tensor(0.0026),tensor(0.0015),tensor(0.0027),tensor(0.0026),tensor(0.0072),tensor(0.0009),tensor(3.1054e-05)
1,tensor(0.0034),tensor(0.0016),tensor(0.0059),tensor(0.0091),tensor(0.0006),tensor(0.0016),tensor(0.0043),tensor(0.0017),tensor(0.0053),tensor(0.0050),tensor(0.0045),tensor(0.0084),tensor(0.0057),tensor(0.0016),tensor(0.0025),tensor(0.0057),tensor(0.0025),tensor(0.0018),tensor(0.0016),tensor(0.0023),tensor(0.0056),tensor(0.0029),tensor(0.0030),tensor(0.0066),tensor(0.0005),tensor(0.0006),tensor(0.0004),tensor(0.0005),tensor(0.0068),tensor(0.0037),tensor(0.0049),tensor(0.0044)
2,tensor(0.0064),tensor(0.0155),tensor(0.0054),tensor(0.0076),tensor(0.0097),tensor(0.0140),tensor(0.0168),tensor(0.0056),tensor(0.0027),tensor(0.0040),tensor(0.0039),tensor(0.0014),tensor(0.0020),tensor(0.0057),tensor(0.0109),tensor(0.0220),tensor(0.0070),tensor(0.0067),tensor(0.0044),tensor(0.0084),tensor(0.0030),tensor(0.0015),tensor(0.0173),tensor(0.0178),tensor(0.0083),tensor(0.0287),tensor(0.0044),tensor(0.0019),tensor(0.0058),tensor(0.0043),tensor(0.0018),tensor(0.0016)
3,tensor(0.0449),tensor(0.0193),tensor(0.0148),tensor(0.0143),tensor(0.0016),tensor(0.0026),tensor(0.0026),tensor(0.0039),tensor(0.0081),tensor(0.0179),tensor(0.0075),tensor(0.0074),tensor(0.0055),tensor(0.0019),tensor(0.0055),tensor(0.0057),tensor(0.0051),tensor(0.0041),tensor(0.0044),tensor(0.0118),tensor(0.0080),tensor(0.0191),tensor(0.0271),tensor(0.0146),tensor(0.0050),tensor(0.0037),tensor(0.0211),tensor(0.0203),tensor(0.0234),tensor(0.0280),tensor(0.0289),tensor(0.0091)
4,tensor(0.0167),tensor(0.0095),tensor(0.0313),tensor(0.0728),tensor(0.0227),tensor(0.0343),tensor(0.0567),tensor(0.0230),tensor(0.0174),tensor(0.0131),tensor(0.0181),tensor(0.0186),tensor(0.0144),tensor(0.0164),tensor(0.0052),tensor(0.0531),tensor(0.0343),tensor(0.0036),tensor(0.0157),tensor(0.0256),tensor(0.0531),tensor(0.0203),tensor(0.0432),tensor(0.0183),tensor(0.0178),tensor(0.0357),tensor(0.0242),tensor(0.0070),tensor(0.0124),tensor(0.0044),tensor(0.0246),tensor(0.0387)
5,tensor(0.0367),tensor(0.0428),tensor(0.0145),tensor(0.0113),tensor(0.0287),tensor(0.0524),tensor(0.0297),tensor(0.0270),tensor(0.0054),tensor(0.0052),tensor(0.0073),tensor(0.0081),tensor(0.0264),tensor(0.0107),tensor(0.0119),tensor(0.0271),tensor(0.0208),tensor(0.0464),tensor(0.0290),tensor(0.0280),tensor(0.0096),tensor(0.0030),tensor(0.0287),tensor(0.0026),tensor(0.0481),tensor(0.0271),tensor(0.0140),tensor(0.0504),tensor(0.0266),tensor(0.0071),tensor(0.0248),tensor(0.0336)
6,tensor(0.0460),tensor(0.0214),tensor(0.0046),tensor(0.0291),tensor(0.1162),tensor(0.0481),tensor(0.0749),tensor(0.0633),tensor(0.0044),tensor(0.0234),tensor(0.0042),tensor(0.0216),tensor(0.0243),tensor(0.0405),tensor(0.0516),tensor(0.0429),tensor(0.0160),tensor(0.0295),tensor(0.0421),tensor(0.0281),tensor(0.0620),tensor(0.0558),tensor(0.0707),tensor(0.0431),tensor(0.0219),tensor(0.0105),tensor(0.0173),tensor(0.0184),tensor(0.0038),tensor(0.0241),tensor(0.0113),tensor(0.0098)
7,tensor(0.0207),tensor(0.0293),tensor(0.0094),tensor(0.0247),tensor(0.0497),tensor(0.0389),tensor(0.0572),tensor(0.0586),tensor(0.0486),tensor(0.0665),tensor(0.1033),tensor(0.0701),tensor(0.0322),tensor(0.0532),tensor(0.0418),tensor(0.0723),tensor(0.0562),tensor(0.0698),tensor(0.0605),tensor(0.0444),tensor(0.0553),tensor(0.0404),tensor(0.0109),tensor(0.0837),tensor(0.0606),tensor(0.0055),tensor(0.0330),tensor(0.0164),tensor(0.0787),tensor(0.0662),tensor(0.0660),tensor(0.0509)
8,tensor(0.0412),tensor(0.0126),tensor(0.0748),tensor(0.0184),tensor(0.0240),tensor(0.0483),tensor(0.0563),tensor(0.0634),tensor(0.0559),tensor(0.0278),tensor(0.0419),tensor(0.0225),tensor(0.0593),tensor(0.0568),tensor(0.0449),tensor(0.0752),tensor(0.0479),tensor(0.0457),tensor(0.0602),tensor(0.0770),tensor(0.0441),tensor(0.0450),tensor(0.0290),tensor(0.0487),tensor(0.0813),tensor(0.0995),tensor(0.0807),tensor(0.0424),tensor(0.0571),tensor(0.0721),tensor(0.0876),tensor(0.0908)
9,tensor(0.0610),tensor(0.0952),tensor(0.1114),tensor(0.1036),tensor(0.0422),tensor(0.0778),tensor(0.0296),tensor(0.0271),tensor(0.0472),tensor(0.0479),tensor(0.0598),tensor(0.0342),tensor(0.0752),tensor(0.1026),tensor(0.0681),tensor(0.0853),tensor(0.0604),tensor(0.0470),tensor(0.0542),tensor(0.0659),tensor(0.0830),tensor(0.0873),tensor(0.0851),tensor(0.0669),tensor(0.0986),tensor(0.0071),tensor(0.0175),tensor(0.0341),tensor(0.0750),tensor(0.1324),tensor(0.0430),tensor(0.0987)
