Layer,certain,not_enough_info
0,0.0,0.1808684915304184
1,0.0,0.2384635955095291
2,0.0,0.2664949893951416
3,0.0,0.311614990234375
4,0.0,0.3576146364212036
5,0.0,0.4343959391117096
6,0.0,0.4828243553638458
7,0.0,0.49422794580459595
8,0.0,0.5704290866851807
9,0.0,0.6180311441421509
10,0.0,0.6861943006515503
11,0.0,0.8203702569007874
12,0.0,0.8626750111579895
13,0.0,1.0751503705978394
14,0.0,1.27436363697052
15,0.0,1.7100993394851685
16,0.0,2.1690077781677246
17,0.0,3.7863471508026123
18,0.0,13.149283409118652
19,0.0,20.237768173217773
20,0.0,27.628427505493164
21,0.0,37.14408493041992
22,0.0,51.48838424682617
23,0.0,62.56712341308594
24,0.0,70.68064880371094
25,0.0,83.73855590820312
26,0.0,96.93744659423828
27,0.0,111.7129135131836
