Layer,certain,not_enough_info
0,0.0,0.0
1,0.22848360655737704,0.22847729575511946
2,0.1714267418032787,0.17197998880119453
3,0.2136964224726776,0.21400883905716722
4,0.3000448258196721,0.30009798954778155
5,0.19294313524590165,0.19310773517491467
6,0.16908139088114754,0.16975689259812288
7,0.19401041666666666,0.19467756772610922
8,0.15398469518442623,0.15453518291382254
9,0.18154190146857924,0.18116734215017063
10,0.15326694842896174,0.15302701045221842
11,0.13193199282786885,0.13160262905290102
12,0.12823653090846995,0.12806300661262798
13,0.15390464907786885,0.15367527463737202
14,0.15668758538251365,0.15687160036262798
15,0.13460019637978143,0.1335040928967577
16,0.0987608862704918,0.09860781516638226
17,0.10303801656420765,0.1038905850042662
18,0.07674820696721311,0.07789502453071673
19,0.054380656591530054,0.05534742960750853
20,0.05874850580601093,0.05920701791808874
21,0.053697596482240435,0.05495747120307167
22,0.04934308828551912,0.048901450511945395
23,0.03716273907103825,0.03718936646757679
24,0.028960681352459015,0.029228548954778156
25,0.030852437670765027,0.031021691019624573
26,0.028837943989071038,0.02848862787969283
27,0.026473915642076504,0.02626386518771331
28,0.04253650102459016,0.041358921715017066
29,0.04335563951502732,0.04354868813993174
30,0.07268720116120218,0.0727905690059727
31,0.4530769723360656,0.4463123933447099
