Layer,certain,manipulated_1,manipulated_2,manipulated_3
0,0.0,0.2812093198299408,0.41378137469291687,0.5832963585853577
1,0.0,0.4152166247367859,0.6041296720504761,0.8421075940132141
2,0.0,0.6359049677848816,0.8419004678726196,1.1189631223678589
3,0.0,0.7729122042655945,0.9934303760528564,1.303178310394287
4,0.0,0.9588956236839294,1.2212505340576172,1.5862038135528564
5,0.0,1.4176136255264282,1.7021484375,2.1925604343414307
6,0.0,1.4795513153076172,1.8647608757019043,2.444779872894287
7,0.0,1.6403586864471436,2.099550247192383,2.6437323093414307
8,0.0,1.9462299346923828,2.355616807937622,2.9605824947357178
9,0.0,2.0680043697357178,2.6341440677642822,3.2643821239471436
10,0.0,2.0778586864471436,2.724076747894287,3.456143379211426
11,0.0,2.3014914989471436,3.0890743732452393,3.9689276218414307
12,0.0,2.4308416843414307,3.305752754211426,4.272549629211426
13,0.0,2.609315872192383,3.5727391242980957,4.6511006355285645
14,0.0,2.8594045639038086,4.098484992980957,5.290127754211426
15,0.0,2.907463312149048,4.20448637008667,5.599786758422852
16,0.0,3.477834939956665,5.13222074508667,6.956676006317139
17,0.0,3.864021062850952,5.84315824508667,8.044388771057129
18,0.0,5.76248836517334,9.169744491577148,13.340909004211426
19,0.0,8.191701889038086,12.97265625,18.62713050842285
20,0.0,11.041193008422852,17.424123764038086,25.034090042114258
21,0.0,13.011659622192383,20.18903923034668,28.714488983154297
22,0.0,16.374526977539062,25.394412994384766,36.01420593261719
23,0.0,19.535274505615234,30.10416603088379,42.585227966308594
24,0.0,22.186790466308594,34.32623291015625,48.633522033691406
25,0.0,27.240293502807617,42.18157958984375,60.039772033691406
26,0.0,31.834991455078125,49.28456497192383,69.71306610107422
27,0.0,37.09516906738281,57.586647033691406,81.1960220336914
